Wavelength,Work,label,0.727581795
764.66,46.73514,1,0.237583049
581.46,13.47775,-1,0.602491407
664,17.72793,1,0.261819071
814.68,51.8335,-1,0.602585538
527.77,15.08518,1,0.117742284
737.29,45.87937,1,0.767704607
505.97,10.88865,1,0.660055947
987.52,42.25938,1,0.944771319
886.02,47.81045,1,0.326420772
615.29,20.67713,1,0.011028164
535.84,10.96116,-1,0.196804743
501.23,8.09178,-1,0.313647342
928.04,47.95891,-1,0.174112619
817.09,50.97243,-1,0.711044803
573.37,13.28271,-1,0.240048343
545.33,12.15247,-1,0.033252444
610.04,14.31857,-1,0.83874329
963.33,37.40814,-1,0.091545841
1022.86,45.70016,1,0.797782163
870.58,50.72503,-1,0.041665062
942.05,42.56968,1,0.295519937
789.18,51.53914,-1,0.938450487
946.4,41.30985,-1,0.263157253
933.35,45.39516,1,0.163146251
562.44,18.93424,1,0.208427193
